"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
297,0,0,0,0,0,0,0,0,0,0,0,0,2464,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,2479,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,2474,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,2464,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,2491,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,2467,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,0,2497,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,2496,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,2498,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,2488,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,2509,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,2472,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,2391,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,2388,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,2358,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,2330,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,2288,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0,2311,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,2295,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,2253,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,2251,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,2228,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,2238,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,2247,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,2236,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,2187,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,2129,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,2144,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,2129,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,2142,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,2127,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,2115,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,2074,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0
